,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
15202,Adoption,Dog,Neutered Male,8 years,Siberian Husky Mix,Brown/White
15203,Return_to_owner,Dog,Spayed Female,2 months,Pit Bull Mix,Brown Brindle/White
15204,Transfer,Dog,Intact Male,1 month,Shih Tzu Mix,White/Black
15205,Return_to_owner,Dog,Spayed Female,10 years,Weimaraner Mix,Tan
15206,Return_to_owner,Dog,Intact Female,3 years,English Bulldog,Tan/White
15207,Transfer,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Brown Tabby
15208,Transfer,Cat,Unknown,4 months,Domestic Shorthair Mix,White/Brown Tabby
15209,Adoption,Cat,Spayed Female,2 months,Domestic Longhair Mix,Calico
15210,Transfer,Dog,Spayed Female,1 year,Carolina Dog Mix,Tan/White
15211,Adoption,Dog,Spayed Female,1 year,Labrador Retriever Mix,Brown/White
15212,Euthanasia,Cat,Unknown,3 months,Domestic Shorthair Mix,Brown Tabby
15213,Transfer,Dog,Spayed Female,10 years,Shetland Sheepdog,Black/Brown
15214,Euthanasia,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie
15215,Adoption,Dog,Neutered Male,2 years,German Shepherd Mix,Black/White
15216,Adoption,Dog,Spayed Female,1 month,Rottweiler Mix,Black/Tan
15217,Transfer,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Blue Tabby
15218,Transfer,Dog,Spayed Female,4 months,Australian Cattle Dog Mix,Black/White
15219,Return_to_owner,Dog,Spayed Female,10 years,Rat Terrier Mix,White/Brown
15220,Adoption,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black/White
15221,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
15222,Adoption,Dog,Neutered Male,3 years,Rottweiler Mix,Black/Brown
15223,Transfer,Dog,Spayed Female,5 years,Australian Cattle Dog/Pointer,White/Black
15224,Adoption,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Brown Tabby
15225,Euthanasia,Dog,Spayed Female,14 years,Boxer Mix,Tan/White
15226,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Torbie
15227,Euthanasia,Dog,Spayed Female,4 years,Pit Bull Mix,Blue/White
15228,Adoption,Dog,Spayed Female,2 months,Chihuahua Longhair,Tricolor/Brown
15229,Adoption,Dog,Spayed Female,3 months,Pit Bull/Catahoula,Brown/White
15230,Transfer,Dog,Spayed Female,11 months,Siberian Husky Mix,White/Black
15231,Adoption,Dog,Spayed Female,9 months,Chihuahua Longhair Mix,Brown/Black
15232,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
15233,Transfer,Dog,Intact Female,5 months,German Shepherd Mix,Tricolor
15234,Transfer,Dog,Neutered Male,7 years,Beagle Mix,Tricolor
15235,Adoption,Dog,Neutered Male,2 years,Miniature Schnauzer/Miniature Poodle,White
15236,Euthanasia,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue/White
15237,Transfer,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
15238,Adoption,Dog,Neutered Male,3 years,Rottweiler Mix,Black/Brown
15239,Transfer,Dog,Spayed Female,6 years,Labrador Retriever Mix,Brown/Black
15240,Adoption,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Silver Tabby/White
15241,Transfer,Dog,Neutered Male,3 years,Pit Bull Mix,Apricot/Brown
15242,Euthanasia,Cat,Unknown,10 years,Domestic Medium Hair Mix,Black/White
15243,Transfer,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Black/White
15244,Adoption,Dog,Spayed Female,8 years,Chihuahua Shorthair Mix,Buff/Tan
15245,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie
15246,Transfer,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Red/White
15247,Adoption,Dog,Neutered Male,2 years,Shetland Sheepdog Mix,Black/White
15248,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby/White
15249,Return_to_owner,Dog,Neutered Male,6 years,Golden Retriever Mix,Brown
15250,Transfer,Dog,Intact Female,2 months,Labrador Retriever/Pointer,Black
15251,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
15252,Return_to_owner,Cat,Spayed Female,4 years,Angora Mix,White
15253,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black
15254,Transfer,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Yellow
15255,Transfer,Dog,Spayed Female,5 years,Labrador Retriever Mix,Tan
15256,Adoption,Dog,Spayed Female,5 months,Chihuahua Longhair Mix,Tan/White
15257,Transfer,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Torbie/White
15258,Return_to_owner,Dog,Neutered Male,1 year,Catahoula Mix,Brown Merle
15259,Return_to_owner,Dog,Neutered Male,14 years,Siberian Husky,Black/White
15260,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Brown
15261,Adoption,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Red/White
15262,Return_to_owner,Dog,Neutered Male,2 years,Australian Shepherd Mix,Brown Brindle
15263,Transfer,Dog,Intact Male,2 months,Border Terrier/Labrador Retriever,White/Cream
15264,Euthanasia,Dog,Intact Female,2 years,Border Collie/Labrador Retriever,Chocolate/White
15265,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
15266,Adoption,Dog,Spayed Female,8 years,Chihuahua Shorthair Mix,Black/White
15267,Transfer,Dog,Spayed Female,3 years,Siberian Husky Mix,Black/White
15268,Transfer,Dog,Intact Female,6 months,Pug/Pit Bull,Tan/White
15269,Transfer,Cat,Intact Male,2 months,Domestic Medium Hair Mix,Orange Tabby/White
15270,Adoption,Cat,Spayed Female,2 months,Domestic Longhair Mix,Blue Tabby/White
15271,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
15272,Transfer,Dog,Unknown,1 week,Labrador Retriever Mix,White
15273,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue/White
15274,Euthanasia,Dog,Intact Female,5 years,Chinese Sharpei Mix,Tan/Brown
15275,Transfer,Dog,Spayed Female,3 years,Pekingese Mix,Tan/Black
15276,Adoption,Dog,Neutered Male,1 year,Parson Russell Terrier Mix,White/Orange
15277,Adoption,Dog,Neutered Male,1 year,Dachshund/Chihuahua Shorthair,Brown Merle
15278,Return_to_owner,Dog,Neutered Male,10 years,Cocker Spaniel,Red
15279,Adoption,Dog,Spayed Female,5 years,Chihuahua Shorthair/Dachshund,Black/Brown
15280,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
15281,Transfer,Dog,Intact Female,4 months,Doberman Pinsch,Black/Tan
15282,Adoption,Dog,Neutered Male,3 years,Pit Bull Mix,White/Chocolate
15283,Euthanasia,Dog,Intact Male,7 years,Chihuahua Shorthair Mix,Brown/White
15284,Euthanasia,Dog,Intact Female,2 years,Miniature Pinscher/Australian Cattle Dog,Black/Tan
15285,Transfer,Cat,Intact Female,4 months,Manx,Black/White
15286,Transfer,Dog,Intact Male,3 months,Anatol Shepherd/Australian Shepherd,Tricolor
15287,Return_to_owner,Dog,Spayed Female,13 years,Chihuahua Shorthair/Rat Terrier,White/Tricolor
15288,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
15289,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby/White
15290,Died,Cat,Unknown,4 months,Domestic Shorthair Mix,Gray Tabby
15291,Transfer,Dog,Neutered Male,2 years,Miniature Schnauzer/Yorkshire Terrier,Sable
15292,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Chocolate/White
15293,Transfer,Dog,Intact Male,1 weeks,Australian Cattle Dog Mix,Tan/Brown
15294,Return_to_owner,Dog,Neutered Male,1 year,Chesa Bay Retr Mix,Chocolate/White
15295,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
15296,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Lilac Point
15297,Return_to_owner,Dog,Spayed Female,4 years,Labrador Retriever Mix,Chocolate/White
15298,Adoption,Dog,Spayed Female,3 months,Cavalier Span Mix,White/Black
15299,Transfer,Cat,Intact Female,2 months,Domestic Medium Hair Mix,Blue Tabby
15300,Return_to_owner,Dog,Intact Male,13 years,Labrador Retriever Mix,Yellow
15301,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
15302,Transfer,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black
15303,Adoption,Dog,Neutered Male,2 years,Australian Cattle Dog Mix,Black/White
15304,Transfer,Cat,Neutered Male,9 months,Domestic Shorthair Mix,Brown Tabby
15305,Return_to_owner,Dog,Intact Male,3 years,Pit Bull/Black Mouth Cur,Tan
15306,Transfer,Dog,Intact Male,3 years,Jack Russell Terrier/Shih Tzu,White/Brown
15307,Return_to_owner,Dog,Spayed Female,3 years,Labrador Retriever Mix,Tan
15308,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair Mix,White
15309,Adoption,Cat,Spayed Female,1 month,Domestic Shorthair,Brown Tabby/White
15310,Return_to_owner,Dog,Neutered Male,8 years,Manchester Terrier Mix,Black/Brown
15311,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue Tabby/White
15312,Return_to_owner,Dog,Intact Male,4 months,Labrador Retriever Mix,Black
15313,Transfer,Dog,Intact Male,3 years,Shih Tzu,Sable/White
15314,Adoption,Dog,Spayed Female,8 months,Boxer Mix,Brown/Black
15315,Adoption,Dog,Spayed Female,3 months,German Shepherd Mix,Tan
15316,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
15317,Return_to_owner,Dog,Intact Male,11 years,American Staffordshire Terrier Mix,White/Tan
15318,Return_to_owner,Dog,Intact Female,1 year,Pit Bull Mix,Blue/White
15319,Transfer,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
15320,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Blue
15321,Return_to_owner,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Brown Tabby
15322,Transfer,Dog,Intact Male,4 months,Great Dane Mix,Blue/White
15323,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Calico
15324,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
15325,Adoption,Dog,Spayed Female,2 months,Manchester Terrier/Dachshund,Tricolor
15326,Transfer,Dog,Intact Female,7 years,Shih Tzu Mix,Gray
15327,Euthanasia,Cat,Intact Male,1 year,Domestic Shorthair Mix,Blue Tabby/White
15328,Adoption,Dog,Spayed Female,2 months,Pit Bull Mix,Brown Brindle/White
15329,Transfer,Dog,Neutered Male,1 year,Cairn Terrier Mix,White
15330,Transfer,Dog,Neutered Male,10 years,Australian Cattle Dog Mix,Blue Merle/Black
15331,Return_to_owner,Dog,Neutered Male,13 years,Alaskan Husky Mix,Red/Cream
15332,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Blue
15333,Return_to_owner,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Brown/White
15334,Transfer,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
15335,Transfer,Dog,Neutered Male,15 years,Labrador Retriever Mix,Tan
15336,Euthanasia,Dog,Intact Male,2 years,Chow Chow Mix,Black
15337,Euthanasia,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
15338,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie
15339,Transfer,Dog,Intact Male,3 years,Chihuahua Shorthair Mix,Tan
15340,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby
15341,Return_to_owner,Cat,Neutered Male,4 years,Siamese Mix,Brown Tabby/White
15342,Return_to_owner,Dog,Intact Male,4 years,Chihuahua Shorthair Mix,Tan/White
15343,Adoption,Dog,Neutered Male,8 years,Miniature Poodle Mix,Apricot
15344,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
15345,Transfer,Dog,Intact Female,10 years,St. Bernard Smooth Coat Mix,Tricolor
15346,Adoption,Dog,Spayed Female,2 years,Manchester Terrier/Dachshund,Black/Tan
15347,Return_to_owner,Dog,Neutered Male,3 years,Black Mouth Cur Mix,Brown
15348,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black
15349,Transfer,Cat,Unknown,1 week,Domestic Shorthair Mix,Brown Tabby
15350,Return_to_owner,Dog,Spayed Female,10 years,Labrador Retriever Mix,Black/White
15351,Return_to_owner,Dog,Neutered Male,2 years,Rottweiler Mix,Black/Tan
15352,Transfer,Dog,Intact Male,1 month,Plott Hound Mix,Black
15353,Transfer,Dog,Spayed Female,7 years,Pit Bull Mix,Brown/White
15354,Return_to_owner,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,White/Cream
15355,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tricolor
15356,Adoption,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Blue
15357,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
15358,Return_to_owner,Dog,Neutered Male,1 year,Miniature Poodle Mix,Tan
15359,Adoption,Dog,Spayed Female,3 years,Staffordshire Mix,Chocolate/White
15360,Euthanasia,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black
15361,Adoption,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Blue Tabby/White
15362,Return_to_owner,Dog,Neutered Male,3 years,German Shepherd/Chinese Sharpei,Black/Tan
15363,Adoption,Dog,Spayed Female,2 years,Cardigan Welsh Corgi/Cairn Terrier,Black/White
15364,Return_to_owner,Dog,Spayed Female,1 year,Labrador Retriever Mix,White
15365,Adoption,Dog,Neutered Male,8 months,Pointer Mix,Tricolor
15366,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
15367,Transfer,Cat,Intact Male,1 week,Domestic Shorthair Mix,Brown Tabby
15368,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie
15369,Transfer,Cat,Intact Male,4 months,Domestic Shorthair Mix,Black/White
15370,Adoption,Dog,Spayed Female,2 years,Dachshund Mix,Black/Brown
15371,Transfer,Cat,Unknown,1 day,Domestic Shorthair Mix,Black
15372,Adoption,Dog,Spayed Female,6 years,Border Collie Mix,Black/White
15373,Adoption,Cat,Neutered Male,3 months,Domestic Longhair Mix,Black
15374,Adoption,Cat,Neutered Male,2 months,Domestic Longhair Mix,Blue
15375,Transfer,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby/White
15376,Euthanasia,Dog,Intact Male,2 years,German Shepherd/Chow Chow,Brown
15377,Euthanasia,Dog,Spayed Female,2 years,Pit Bull Mix,White/Brown
15378,Return_to_owner,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black
15379,Adoption,Dog,Spayed Female,2 months,Pit Bull Mix,White/Brown Brindle
15380,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby
15381,Adoption,Dog,Spayed Female,10 months,Miniature Pinscher Mix,Black/Tan
15382,Return_to_owner,Dog,Spayed Female,1 year,Australian Shepherd/Cocker Spaniel,Black/Tan
15383,Adoption,Dog,Spayed Female,1 year,Rottweiler Mix,Black/Tan
15384,Adoption,Cat,Spayed Female,9 years,Domestic Shorthair Mix,Calico
15385,Adoption,Dog,Neutered Male,6 months,German Shepherd Mix,Buff/Black
15386,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue
15387,Adoption,Cat,Neutered Male,4 months,Snowshoe Mix,Lilac Point
15388,Transfer,Dog,Spayed Female,5 years,Australian Cattle Dog Mix,White/Red
15389,Return_to_owner,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Black/White
15390,Adoption,Dog,Spayed Female,5 months,Labrador Retriever/Pit Bull,Yellow
15391,Transfer,Cat,Neutered Male,3 years,Snowshoe Mix,Seal Point
15392,Adoption,Dog,Neutered Male,6 months,Chihuahua Shorthair Mix,Black/White
15393,Transfer,Dog,Intact Female,5 months,Shih Tzu Mix,Tan/Silver
15394,Adoption,Dog,Neutered Male,3 months,Labrador Retriever Mix,Black
15395,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby/White
15396,Euthanasia,Dog,Neutered Male,1 year,Whippet Mix,Tan/Buff
15397,Adoption,Dog,Spayed Female,6 years,English Bulldog Mix,Tan/White
15398,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby
15399,Transfer,Dog,Intact Female,0 years,Beagle/Chihuahua Shorthair,White
15400,Adoption,Dog,Spayed Female,11 months,Labrador Retriever Mix,Black/White
15401,Transfer,Cat,Intact Female,12 years,Domestic Medium Hair Mix,Black/White
15402,Adoption,Dog,Neutered Male,10 months,Pit Bull Mix,Black/White
15403,Transfer,Dog,Intact Male,4 years,Golden Retriever,Tan
15404,Return_to_owner,Dog,Neutered Male,10 months,Dachshund Wirehair/Standard Poodle,Black
15405,Transfer,Dog,Spayed Female,5 months,Labrador Retriever Mix,Tan
15406,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White/Black
15407,Transfer,Dog,Neutered Male,2 years,Boxer/American Bulldog,Brown/White
15408,Transfer,Cat,Spayed Female,3 years,Angora Mix,Calico
15409,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
15410,Adoption,Dog,Spayed Female,5 years,Toy Poodle,Apricot
15411,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black/White
15412,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
15413,Transfer,Cat,Intact Female,3 weeks,Domestic Medium Hair Mix,Blue Tabby
15414,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
15415,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby
15416,Return_to_owner,Dog,Intact Female,5 months,German Shepherd Mix,Black/Tan
15417,Adoption,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black
15418,Return_to_owner,Dog,Intact Male,1 year,German Shepherd,Tan/Black
15419,Transfer,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan
15420,Transfer,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
15421,Return_to_owner,Dog,Spayed Female,3 years,Pit Bull Mix,Blue/White
15422,Return_to_owner,Dog,Neutered Male,5 years,German Shepherd Mix,Brown/Black
15423,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
15424,Euthanasia,Dog,Intact Female,15 years,German Shepherd Mix,Brown/Black
15425,Return_to_owner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Red/White
15426,Adoption,Dog,Neutered Male,10 months,American Bulldog Mix,Brown Merle/White
15427,Transfer,Dog,Intact Male,4 weeks,Blue Lacy/American Bulldog,Red
15428,Adoption,Dog,Neutered Male,1 year,German Shepherd Mix,Buff
15429,Return_to_owner,Dog,Neutered Male,9 months,Labrador Retriever Mix,Red
15430,Adoption,Cat,Spayed Female,2 months,Domestic Longhair Mix,Black
15431,Return_to_owner,Dog,Neutered Male,5 years,Pit Bull,White
15432,Adoption,Dog,Intact Male,1 month,Australian Shepherd Mix,Buff/White
15433,Transfer,Dog,Neutered Male,6 months,German Shepherd/Labrador Retriever,Black
15434,Euthanasia,Cat,Intact Male,2 years,Domestic Medium Hair Mix,Orange Tabby/White
15435,Transfer,Cat,Intact Female,10 months,Domestic Shorthair Mix,Brown Tabby/White
15436,Euthanasia,Cat,Intact Male,4 years,Domestic Medium Hair Mix,Black
15437,Return_to_owner,Dog,Neutered Male,3 years,Alaskan Malamute Mix,Sable
15438,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Brown Brindle
15439,Euthanasia,Cat,Unknown,5 years,Domestic Longhair Mix,Orange Tabby
15440,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White
15441,Adoption,Dog,Spayed Female,2 years,Queensland Heeler Mix,White
15442,Transfer,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Orange Tabby
15443,Transfer,Dog,Neutered Male,2 years,Rat Terrier Mix,White/Black
15444,Adoption,Dog,Neutered Male,2 years,German Shepherd Mix,Tricolor
15445,Adoption,Dog,Neutered Male,6 months,Chihuahua Shorthair Mix,Brown
15446,Euthanasia,Dog,Neutered Male,14 years,Border Collie Mix,Black/White
15447,Adoption,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black
15448,Return_to_owner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
15449,Transfer,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Blue
15450,Adoption,Dog,Neutered Male,4 months,Chihuahua Shorthair/Dachshund,Red/White
15451,Transfer,Cat,Intact Female,1 month,Domestic Medium Hair Mix,Black
15452,Transfer,Dog,Spayed Female,8 years,Lhasa Apso/Cocker Spaniel,Tan/White
15453,Transfer,Dog,Spayed Female,2 years,Dachshund Mix,Red
15454,Return_to_owner,Dog,Intact Male,4 years,Pit Bull Mix,Brown/White
15455,Adoption,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Brown
15456,Transfer,Dog,Intact Female,1 month,Miniature Poodle Mix,Black/White
15457,Adoption,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Torbie
15458,Transfer,Cat,Intact Female,2 months,Domestic Shorthair Mix,Orange Tabby
15459,Adoption,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Black Smoke
15460,Adoption,Dog,Spayed Female,2 months,Queensland Heeler Mix,Black/White
15461,Adoption,Dog,Neutered Male,3 years,Border Collie/Labrador Retriever,Black/White
15462,Transfer,Dog,Intact Female,1 year,Whippet/Miniature Pinscher,Tan
15463,Adoption,Dog,Neutered Male,10 months,American Staffordshire Terrier,Black/White
15464,Transfer,Dog,Intact Male,3 years,Boxer Mix,Brown/White
15465,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
15466,Euthanasia,Cat,Unknown,2 months,Domestic Longhair Mix,Black/White
15467,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
15468,Transfer,Cat,Intact Male,6 months,Domestic Shorthair Mix,Orange Tabby
15469,Transfer,Cat,Unknown,3 days,Domestic Shorthair Mix,Brown Tabby
15470,Died,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
15471,Adoption,Dog,Neutered Male,6 years,Parson Russell Terrier Mix,White/Tricolor
15472,Euthanasia,Cat,Intact Female,15 years,Domestic Shorthair Mix,Black
15473,Adoption,Dog,Neutered Male,1 year,Dachshund/Catahoula,Brown Merle/Black
15474,Return_to_owner,Dog,Spayed Female,4 years,Standard Schnauzer Mix,Silver
15475,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
15476,Adoption,Dog,Neutered Male,6 years,Boxer Mix,Brown/White
15477,Return_to_owner,Dog,Neutered Male,4 years,Labrador Retriever Mix,Black/White
15478,Return_to_owner,Dog,Intact Male,3 years,Pit Bull Mix,Brown Brindle/White
15479,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Torbie
15480,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
15481,Transfer,Dog,Neutered Male,5 months,Labrador Retriever Mix,Black/Gray
15482,Adoption,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black
15483,Adoption,Dog,Neutered Male,3 months,Chihuahua Shorthair Mix,Black/Tan
15484,Return_to_owner,Dog,Neutered Male,4 years,Rat Terrier Mix,White/Tricolor
15485,Adoption,Dog,Neutered Male,11 years,Maltese Mix,White
15486,Adoption,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Calico
15487,Adoption,Dog,Intact Male,2 months,Labrador Retriever Mix,Brown/Cream
15488,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
15489,Return_to_owner,Dog,Neutered Male,5 years,Rottweiler/Labrador Retriever,Black/Tan
15490,Transfer,Cat,Intact Female,3 years,Domestic Shorthair Mix,Tortie
15491,Adoption,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Blue Tabby
15492,Transfer,Cat,Unknown,2 days,Domestic Shorthair Mix,Black
15493,Adoption,Dog,Neutered Male,9 years,Dachshund Mix,Black/Tan
15494,Transfer,Cat,Unknown,3 days,Domestic Shorthair Mix,Gray Tabby
15495,Return_to_owner,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White
15496,Transfer,Dog,Neutered Male,4 years,Maltese Mix,White
15497,Transfer,Dog,Spayed Female,2 years,Rat Terrier/Chihuahua Shorthair,Tricolor
15498,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby/White
15499,Adoption,Dog,Spayed Female,2 months,Mastiff/Chinese Sharpei,Black/White
15500,Adoption,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue Tabby
15501,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
15502,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
15503,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
15504,Return_to_owner,Dog,Unknown,1 year,Carolina Dog Mix,Tan
15505,Transfer,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Orange Tabby
15506,Transfer,Dog,Spayed Female,1 year,Cocker Spaniel Mix,Red
15507,Adoption,Dog,Neutered Male,3 years,Boxer Mix,White/Brown Brindle
15508,Adoption,Dog,Spayed Female,10 months,Labrador Retriever Mix,Black
15509,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
15510,Transfer,Dog,Intact Male,3 years,Pekingese/Lhasa Apso,Buff
15511,Adoption,Dog,Spayed Female,2 months,Labrador Retriever/Pit Bull,Blue/White
15512,Transfer,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby
15513,Transfer,Dog,Neutered Male,5 months,German Shepherd Mix,White
15514,Transfer,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Blue Tabby
15515,Transfer,Cat,Unknown,1 week,Domestic Shorthair Mix,White/Blue
15516,Return_to_owner,Dog,Intact Female,1 year,Pit Bull Mix,Brown
15517,Adoption,Dog,Spayed Female,1 year,Pit Bull Mix,Fawn
15518,Adoption,Dog,Neutered Male,2 months,Chihuahua Shorthair/Miniature Schnauzer,Black
15519,Transfer,Dog,Spayed Female,7 months,Border Collie/Basenji,Black/White
15520,Adoption,Dog,Spayed Female,1 year,Chihuahua Longhair Mix,Red/White
15521,Adoption,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Tan
15522,Adoption,Dog,Neutered Male,2 years,Jack Russell Terrier/Beagle,White/Brown
15523,Adoption,Dog,Neutered Male,4 years,Dachshund Wirehair/Chihuahua Shorthair,Cream/Tan
15524,Transfer,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby
15525,Transfer,Cat,Intact Female,9 years,Domestic Medium Hair Mix,Brown Tabby
15526,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Cream Tabby
15527,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/Black
15528,Euthanasia,Cat,Spayed Female,12 years,Domestic Medium Hair Mix,Black/White
15529,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black
15530,Transfer,Dog,Spayed Female,5 years,Boxer Mix,White/Brown
15531,Return_to_owner,Dog,Spayed Female,4 months,Labrador Retriever Mix,White/Tricolor
15532,Transfer,Dog,Neutered Male,7 years,Yorkshire Terrier Mix,Buff
15533,Adoption,Cat,Spayed Female,2 months,Domestic Longhair Mix,Black/White
